Material / SKU ID,Material description,Business Unit,SKU Category,SKU Importance,Site ID,Category,Safety Stock (SS),Maximum Stock (Max),Replenishment / transportation lead time,Current on-hand inventory quantity,Safety Stock (Days),Cycle Stock (Units),Cycle Stock (Days),Maximum Stock (Days),Week,Week_Index,Forecast quantity,Confirmed supply quantities,Planned supply quantities,Supply status,Site,Factory ID,Site Description,Location,Region,Lat,Long,Latitude,Longitude,Unit Price
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC1,Medical Devices & Diagnostics,264,558,2,316,28,132,14,59,Week_1,1,66,0,146,None,DC,F1,Northeast Regional DC - New York,New York,Northeast,40.7128,-74.006,40.7128,-74.006,28.22
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC1,Medical Devices & Diagnostics,264,558,2,316,28,132,14,59,Week_2,2,47,105,0,Confirmed,DC,F1,Northeast Regional DC - New York,New York,Northeast,40.7128,-74.006,40.7128,-74.006,28.22
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC1,Medical Devices & Diagnostics,264,558,2,316,28,132,14,59,Week_3,3,58,166,0,Confirmed,DC,F1,Northeast Regional DC - New York,New York,Northeast,40.7128,-74.006,40.7128,-74.006,28.22
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC1,Medical Devices & Diagnostics,264,558,2,316,28,132,14,59,Week_4,4,78,0,131,None,DC,F1,Northeast Regional DC - New York,New York,Northeast,40.7128,-74.006,40.7128,-74.006,28.22
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC1,Medical Devices & Diagnostics,264,558,2,316,28,132,14,59,Week_5,5,76,401,0,Confirmed,DC,F1,Northeast Regional DC - New York,New York,Northeast,40.7128,-74.006,40.7128,-74.006,28.22
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC1,Medical Devices & Diagnostics,264,558,2,316,28,132,14,59,Week_6,6,49,0,193,None,DC,F1,Northeast Regional DC - New York,New York,Northeast,40.7128,-74.006,40.7128,-74.006,28.22
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC1,Medical Devices & Diagnostics,264,558,2,316,28,132,14,59,Week_7,7,68,0,91,None,DC,F1,Northeast Regional DC - New York,New York,Northeast,40.7128,-74.006,40.7128,-74.006,28.22
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC1,Medical Devices & Diagnostics,264,558,2,316,28,132,14,59,Week_8,8,77,131,0,Confirmed,DC,F1,Northeast Regional DC - New York,New York,Northeast,40.7128,-74.006,40.7128,-74.006,28.22
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC1,Medical Devices & Diagnostics,264,558,2,316,28,132,14,59,Week_9,9,46,0,0,None,DC,F1,Northeast Regional DC - New York,New York,Northeast,40.7128,-74.006,40.7128,-74.006,28.22
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC1,Medical Devices & Diagnostics,264,558,2,316,28,132,14,59,Week_10,10,56,407,0,Confirmed,DC,F1,Northeast Regional DC - New York,New York,Northeast,40.7128,-74.006,40.7128,-74.006,28.22
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC1,Medical Devices & Diagnostics,264,558,2,316,28,132,14,59,Week_11,11,70,196,0,Confirmed,DC,F1,Northeast Regional DC - New York,New York,Northeast,40.7128,-74.006,40.7128,-74.006,28.22
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC1,Medical Devices & Diagnostics,264,558,2,316,28,132,14,59,Week_12,12,60,0,66,None,DC,F1,Northeast Regional DC - New York,New York,Northeast,40.7128,-74.006,40.7128,-74.006,28.22
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC2,Medical Devices & Diagnostics,180,367,3,275,28,135,21,57,Week_1,1,50,0,0,None,DC,F1,West Coast Distribution Center - LA,Los Angeles,West,34.0522,-118.2437,34.0522,-118.2437,17.43
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC2,Medical Devices & Diagnostics,180,367,3,275,28,135,21,57,Week_2,2,52,91,0,Confirmed,DC,F1,West Coast Distribution Center - LA,Los Angeles,West,34.0522,-118.2437,34.0522,-118.2437,17.43
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC2,Medical Devices & Diagnostics,180,367,3,275,28,135,21,57,Week_3,3,31,88,0,Confirmed,DC,F1,West Coast Distribution Center - LA,Los Angeles,West,34.0522,-118.2437,34.0522,-118.2437,17.43
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC2,Medical Devices & Diagnostics,180,367,3,275,28,135,21,57,Week_4,4,54,311,0,Confirmed,DC,F1,West Coast Distribution Center - LA,Los Angeles,West,34.0522,-118.2437,34.0522,-118.2437,17.43
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC2,Medical Devices & Diagnostics,180,367,3,275,28,135,21,57,Week_5,5,52,0,109,None,DC,F1,West Coast Distribution Center - LA,Los Angeles,West,34.0522,-118.2437,34.0522,-118.2437,17.43
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC2,Medical Devices & Diagnostics,180,367,3,275,28,135,21,57,Week_6,6,47,0,0,None,DC,F1,West Coast Distribution Center - LA,Los Angeles,West,34.0522,-118.2437,34.0522,-118.2437,17.43
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC2,Medical Devices & Diagnostics,180,367,3,275,28,135,21,57,Week_7,7,44,0,0,None,DC,F1,West Coast Distribution Center - LA,Los Angeles,West,34.0522,-118.2437,34.0522,-118.2437,17.43
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC2,Medical Devices & Diagnostics,180,367,3,275,28,135,21,57,Week_8,8,59,74,0,Confirmed,DC,F1,West Coast Distribution Center - LA,Los Angeles,West,34.0522,-118.2437,34.0522,-118.2437,17.43
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC2,Medical Devices & Diagnostics,180,367,3,275,28,135,21,57,Week_9,9,45,271,0,Confirmed,DC,F1,West Coast Distribution Center - LA,Los Angeles,West,34.0522,-118.2437,34.0522,-118.2437,17.43
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC2,Medical Devices & Diagnostics,180,367,3,275,28,135,21,57,Week_10,10,42,0,81,None,DC,F1,West Coast Distribution Center - LA,Los Angeles,West,34.0522,-118.2437,34.0522,-118.2437,17.43
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC2,Medical Devices & Diagnostics,180,367,3,275,28,135,21,57,Week_11,11,37,87,0,Confirmed,DC,F1,West Coast Distribution Center - LA,Los Angeles,West,34.0522,-118.2437,34.0522,-118.2437,17.43
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC2,Medical Devices & Diagnostics,180,367,3,275,28,135,21,57,Week_12,12,51,130,0,Confirmed,DC,F1,West Coast Distribution Center - LA,Los Angeles,West,34.0522,-118.2437,34.0522,-118.2437,17.43
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC3,Medical Devices & Diagnostics,435,1028,2,535,28,218,14,66,Week_1,1,119,0,0,None,DC,F1,South Central Logistics Hub - Dallas,Dallas,South,32.7767,-96.797,32.7767,-96.797,26.75
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC3,Medical Devices & Diagnostics,435,1028,2,535,28,218,14,66,Week_2,2,133,308,0,Confirmed,DC,F1,South Central Logistics Hub - Dallas,Dallas,South,32.7767,-96.797,32.7767,-96.797,26.75
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC3,Medical Devices & Diagnostics,435,1028,2,535,28,218,14,66,Week_3,3,138,0,0,None,DC,F1,South Central Logistics Hub - Dallas,Dallas,South,32.7767,-96.797,32.7767,-96.797,26.75
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC3,Medical Devices & Diagnostics,435,1028,2,535,28,218,14,66,Week_4,4,112,200,0,Confirmed,DC,F1,South Central Logistics Hub - Dallas,Dallas,South,32.7767,-96.797,32.7767,-96.797,26.75
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC3,Medical Devices & Diagnostics,435,1028,2,535,28,218,14,66,Week_5,5,136,0,219,None,DC,F1,South Central Logistics Hub - Dallas,Dallas,South,32.7767,-96.797,32.7767,-96.797,26.75
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC3,Medical Devices & Diagnostics,435,1028,2,535,28,218,14,66,Week_6,6,102,0,134,None,DC,F1,South Central Logistics Hub - Dallas,Dallas,South,32.7767,-96.797,32.7767,-96.797,26.75
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC3,Medical Devices & Diagnostics,435,1028,2,535,28,218,14,66,Week_7,7,118,660,0,Confirmed,DC,F1,South Central Logistics Hub - Dallas,Dallas,South,32.7767,-96.797,32.7767,-96.797,26.75
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC3,Medical Devices & Diagnostics,435,1028,2,535,28,218,14,66,Week_8,8,105,0,0,None,DC,F1,South Central Logistics Hub - Dallas,Dallas,South,32.7767,-96.797,32.7767,-96.797,26.75
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC3,Medical Devices & Diagnostics,435,1028,2,535,28,218,14,66,Week_9,9,108,558,0,Confirmed,DC,F1,South Central Logistics Hub - Dallas,Dallas,South,32.7767,-96.797,32.7767,-96.797,26.75
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC3,Medical Devices & Diagnostics,435,1028,2,535,28,218,14,66,Week_10,10,72,262,0,Confirmed,DC,F1,South Central Logistics Hub - Dallas,Dallas,South,32.7767,-96.797,32.7767,-96.797,26.75
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC3,Medical Devices & Diagnostics,435,1028,2,535,28,218,14,66,Week_11,11,94,830,0,Confirmed,DC,F1,South Central Logistics Hub - Dallas,Dallas,South,32.7767,-96.797,32.7767,-96.797,26.75
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC3,Medical Devices & Diagnostics,435,1028,2,535,28,218,14,66,Week_12,12,108,186,0,Confirmed,DC,F1,South Central Logistics Hub - Dallas,Dallas,South,32.7767,-96.797,32.7767,-96.797,26.75
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC4,Medical Devices & Diagnostics,71,143,2,169,28,36,14,56,Week_1,1,18,44,0,Confirmed,DC,F1,Northwest Fulfillment Center - Seattle,Seattle,Northwest,47.6062,-122.3321,47.6062,-122.3321,16.77
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC4,Medical Devices & Diagnostics,71,143,2,169,28,36,14,56,Week_2,2,17,0,43,None,DC,F1,Northwest Fulfillment Center - Seattle,Seattle,Northwest,47.6062,-122.3321,47.6062,-122.3321,16.77
SKU_0001,Medical Device for SKU_0001,MDS,B,2,DC4,Medical Devices & Diagnostics,71,143,2,169,28,36,14,56,Week_3,3,22,0,0,None,DC,F1,Northwest Fulfillment Center - Seattle,Seattle,Northwest,47.6062,-122.3321,47.6062,-122.3321,16.77
